         152754 function calls (142365 primitive calls) in 0.243 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      609    0.001    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\types.py:30(__ne__)
       27    0.001    0.000    0.003    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\analysis.py:235(compute_cfg_from_blocks)
1743/1138    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
     3236    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      231    0.001    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:250(function_type)
      296    0.001    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\contextlib.py:59(__init__)
       33    0.001    0.000    0.002    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\instructions.py:112(_descr)
      169    0.001    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\os.py:664(__getitem__)
      180    0.001    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\colorama\win32.py:92(_winapi_test)
       90    0.001    0.000    0.004    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\colorama\ansitowin32.py:73(__init__)
       26    0.001    0.000    0.003    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:593(__init__)
      210    0.001    0.000    0.002    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\types.py:77(__call__)
       19    0.001    0.000    0.001    0.000 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
      122    0.001    0.000    0.002    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:748(__str__)
       33    0.001    0.000    0.002    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\module.py:45(add_metadata)
      278    0.001    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\controlflow.py:366(_add_edge)
      135    0.001    0.000    0.002    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\instructions.py:393(__init__)
       63    0.000    0.000    0.002    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\instructions.py:166(descr)
      131    0.000    0.000    0.003    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\builder.py:748(store)
       20    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
      491    0.000    0.000    0.004    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\datamodel\manager.py:22(lookup)
       57    0.000    0.000    0.042    0.001 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\lowering.py:321(lower_inst)
       59    0.000    0.000    0.002    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\instructions.py:492(__init__)
       22    0.000    0.000    0.234    0.011 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\compiler_machinery.py:259(_runPass)
      240    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:538(__iter__)
       71    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\builder.py:344(_set_terminator)
       71    0.000    0.000    0.023    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:799(<listcomp>)
      375    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\instructions.py:639(<listcomp>)
       11    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\analysis.py:190(compute_live_variables)
        2    0.000    0.000    0.011    0.005 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\rewrites\registry.py:54(apply)
     1071    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      135    0.000    0.000    0.002    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\builder.py:735(load)
      550    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\utils.py:377(stream_list)
       45    0.000    0.000    0.006    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\errors.py:275(_markup)
       93    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\types\containers.py:233(__init__)
       23    0.000    0.000    0.003    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\cgutils.py:149(__getattr__)
       72    0.000    0.000    0.013    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\runtime\context.py:197(_call_incref_decref)
  296/230    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\contextlib.py:85(__exit__)
      189    0.000    0.000    0.004    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\datamodel\models.py:615(get)
     1045    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\controlflow.py:124(predecessors)
      278    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\controlflow.py:381(_dfs)
      270    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\colorama\win32.py:99(<genexpr>)
       51    0.000    0.000    0.002    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\builder.py:952(insert_value)
       42    0.000    0.000    0.003    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\builder.py:854(call)
       12    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:36(<listcomp>)
      148    0.000    0.000    0.002    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:729(__init__)
     1602    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\types\abstract.py:96(key)
      356    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\types\npytypes.py:432(key)
      330    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:130(_get_reference)
2543/2541    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      144    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\types\functions.py:77(add_error)
        3    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\typeinfer.py:1462(typeof_arg)
        9    0.000    0.000    0.043    0.005 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\lowering.py:220(lower_block)
      296    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\contextlib.py:157(helper)
     1042    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
     2802    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      958    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\_utils.py:71(_stringify_metadata)
      108    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\ntpath.py:44(normcase)
       11    0.000    0.000    0.018    0.002 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\postproc.py:68(run)
       42    0.000    0.000    0.004    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\cgutils.py:362(alloca_once)
     1001    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\analysis.py:69(<genexpr>)
      135    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\instructions.py:398(descr)
        1    0.000    0.000    0.239    0.239 C:\Users\nmoll\OneDrive\Documents\Gen-Modeling-Governance\compute_J.py:6(determine_stability)
      104    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:173(__eq__)
      656    0.000    0.000    0.008    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\ir.py:346(list_vars)
      206    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\types.py:240(format_constant)
       48    0.000    0.000    0.004    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\builder.py:284(if_then)
      481    0.000    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1376    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\builder.py:182(block)
       26    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:762(__str__)
      131    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\instructions.py:418(descr)
      550    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\utils.py:386(sublist_iterator)
      159    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\types.py:116(__init__)
       15    0.000    0.000    0.000    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
       12    0.000    0.000    0.005    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\cgutils.py:99(__init__)
